letra,artista
jayz uhuhuh you ready b lets go get em  look for me young b cruisin down the west side highway doin what we like to do our way eyes behind shades this necklace the reason all of my dates been blind dates but today ive got my thoroughest girl with me im mashin the gas shes grabbin the wheel its true to the heart she rides wit me the new bobby and whitney only time we dont speak is durin sex and the city she gets carrie feva but soon as the shows ova shes right back to being my souljah cuz mamis a rida and im a rolla put us togetha how they gon stop both us whateva she lacks im right over her shoulder when im off track mami is keepin me focused so lets lock this down like its supposed to be the 03 bonnie and clyde hov and b holla  chorus all i need in this life of sin is me and my girlfriend me and my girlfriend down to ride till the very end its me and my boyfriend me and my boyfriend all i need in this life of sin is me and my girlfriend me and my girlfriend down to ride till the very end its me and my boyfriend me and my boyfriend  jayz the problem is you dudes treat the one that you lovin wit the same respect that you treat the one that you humpin that aint by nothin if eva you mad about somethin it wont be that oh no it wont be that i dont be at places where we comfy at with no beatch oh no you wont see that and no i aint perfect nobody walkin this earths surfaces is but girlfriend work with the kid i keep you workin that hermes birkin bag manolo blahnik timbsaviator lens 600 drops mercedes benz the only time you wear burberry to swim and i dont have to worry only worry is him she do anything necessary for him and i do anything necessary for her so dont let the necessary occur yep  chours all i need in this life of sin is me and my girlfriend down to ride till the very end its me and my boyfriend all i need in this life of sin is me and my girlfriend down to ride till the very end its me and my boyfriend  jayz talk to em b  beyonce if i was your girlfriend id be there for you if somebody hurts you even if that somebody was me yaahee sometimes i trip on how happy we could be and so i put this on my life nobody or nothing will ever come between us and i promise ill give my life my love and my trust if you was my boyfriend  jayz one more time  beyonce i put this on my life the air that i breathe in all that i believe in i promise ill give my life my love and my trust if you was my boyfirend  chours all i need in this life of sin is me and my girlfriend down to ride till the very end its me and my boyfriend all i need in this life of sin is me and my girlfriend down to ride till the very end its me and my boyfriend,Beyoncé
your challengers are a young group from houston welcome beyonce lativia nina nicky kelly and ashley the hiphop rappin girls tyme  im out that htown coming coming down im coming down dripping candy on the ground h htown town im coming down coming down dripping candy on the ground  i know when you were little girls you dreamt of being in my world dont forget it dont forget it respect that bow down bitches  i took some time to live my life but dont think im just his little wife dont get it twisted get it twisted this my shit bow down bitches  bow down bitches bow bow down bitches crown bow down bitches bow bow down bitches crown h town bitches h h town bitches im so crown crown bow down bitches  im out that h town coming coming down im coming down drippin candy on the ground on the ground  h h town town im coming down coming down drippin candy on the ground  chimamanda ngozi adichie we teach girls to shrink themselves to make themselves smaller we say to girls you can have ambition but not too much you should aim to be successful but not too successful otherwise you will threaten the man because i am female i am expected to aspire to marriage i am expected to make my life choices always keeping in mind that marriage is the most important now marriage can be a source of joy and love and mutual support but why do we teach girls to aspire to marriage and we dont teach boys the same we raise girls to each other as competitors not for jobs or for accomplishments which i think can be a good thing but for the attention of men we teach girls that they cannot be sexual beings in the way that boys are feminist  the person who believes in the social political and economic equality of the sexes  you wake up flawless post up flawless ride round in it flawless flossin on that flawless this diamond flawless my diamond flawless this rock flawless my roc flawless i woke up like this i woke up like this we flawless ladies tell em i woke up like this i woke up like this we flawless ladies tell em say i look so good tonight god damn god damn say i look so good tonight god damn god damn  momma taught me good home training my daddy taught me how to love my hater s my sister taught me i should speak my mind my man made me feel so god damn fine  you wake up flawless post up flawless ride round in it flawless flossin on that flawless this diamond flawless my diamond flawless this rock flawless my roc flawless i woke up like this i woke up like this we flawless ladies tell em i woke up like this i woke up like this we flawless ladies tell em say i look so good tonight god damn god damn say i look so good tonight god damn god damn  the judges give champion skeleton groove 4 stars a perfect score and the challenger girls tyme receives 3 stars skeleton groove champions once again congratulations well see you next week,Beyoncé
dumdadeda do do do do do do coming down dripping candy on the ground  it stay yoncé your yoncé in that lingerie on that chardonnay scorin touchdowns on your runway im texas forever like bun b and im redboned yo im really rit like donjae im camo in here yo these thots cant clock me nowadays you wish i was your pound cake boy you know i look good as fuck you wish i was your babymomma want me to come around and give you good karma but no we escalate up in this bitch like elevators of course sometimes shit go down when its a billion dollars on an elevator of course sometimes shit go down when its a billion dollars on an elevator ha ha god damn god damn god damn  momma taught me good home training my daddy taught me how to love my haters my sister taught me i should speak my mind my man made me feel so god damn fine im flawless  you wake up flawless post up flawless ridin round in it flawless flossin on that flawless this diamond flawless my diamond flawless this rock flawless my roc flawless i woke up like this i woke up like this we flawless ladies tell em i woke up like this i woke up like this we flawless ladies tell em say i look so good tonight god damn god damn say i look so good tonight god damn god damn god damn  i wake up looking this good and i wouldnt change it if i could if i could if i if i could and you can say what you want im the shit what you want im the shit im the shit im the shit im the shit i want everyone to feel like this tonight god damn god damn god damn  onika looking trinidadian japanese and indian got malaysian got that yaki that wavy brazilian them bitches thirsty im hungarian nicki b be eatin diamond fangs barbarian ah yo like mj doctor they killing me propofol i know they hope i fall but tell em winning is my motherfuckin protocol cause i score before i ever throw the ball these bitches washed up and aint no fuckin soap involved this every hood nigga dream fantasizing about nicki and b curvalicious pussy served delicious mayday mayday earth to bitches slap these hoes on they ass like we birthing bitches uh the queen of rap slayin with queen b if you aint on the team you playin for team d cause we alisters we paid sisters this watch right here done phased blizzards i confess i woke up like this all this drank in my cup like this all this ass on that flawless dick instagram another flawless pic flawless city with these flawless titties i got all these hundreds you got all them fifties im with some flawless bitches cause they be mobbin pretty cause niggas love bad bitches that be on they grizzly throw that ass back i be on my frisbee princess cut diamonds on my disney he want monster nicki in sri lanka i told em meet me at the trump ivanka i said come here let me show you how this cookie tastes this that yeah nigga eat the cookie face  right right right,Beyoncé
if i aint got nothing i got you if i aint got something i dont give a damn cause i got it with you  i dont know much about algebra but i know 1 plus 1 equals 2 and its me and you thats all you have when the world is through  cause baby we aint got nothing without love darling you got enough for the both of us so come on baby make love to me when my days look low pull me in close and dont let me go make love to me so when the world is at war let our love heal us all right now baby make love to me oh make love to me  hey i dont know much about guns but i ive been shot by you hey and i dont know when im gon die but i hope that im gon die by you hey i dont know much about fighting but i i know ill fight for you hey just when i balled up my fists i realized im laying right next to you  baby we aint got nothing but love and darling you got enough for the both of us make love to me when my days look low pull me in close and dont let me go make love to me so when the world is at war let our love heal us all help me let down my guard make love to me  me me me me oh make love to me,Beyoncé
six inch heels she walked in the club like nobodys business goddamn she murdered everybody and i was her witness  shes stacking money money everywhere she goes you know pesos out of mexico de uno commas and them decimals she dont gotta give it up she professional she mixing up that ace with that hennessy she love the way it tastes thats her recipe rushing through her veins like its ecstasy oh no she already made enough but shell never leave  six inch heels she walked in the club like nobodys business goddamn she murdered everybody and i was her witness  she works for the money she work for the money from the start to the finish and she worth every dollar she worth every dollar and she worth every minute she works for the money she works for the money she works for the money she works for the money  she stack her money money everywhere she goes she got that sake her yamazaki straight from tokyo oh baby you know she got them commas and them decimals she dont gotta give it up cause she professional  six inch heels she walked in the club like nobodys business goddamn she murdered everybody and i was her witness  she works for the money she work for the money from the start to the finish and she worth every dollar she worth every dollar and she worth every minute  stars in her eyes she fights for the power keeping time she grinds day and night she grinds from monday to friday works from friday to sunday she gon slang she too smart to crave material things she pushing herself day and night she grinds from monday to friday works from friday to sunday oh stars in her eyes she fights and she sweats those sleepless nights but she dont mind she loves the grind she grinds from monday to friday works from friday to sunday yeah yeah she gon slang too smart to crave material things stacking her paper stacking her cake up she grinds from monday to friday works from friday to sunday  six inch heels she walked in the club like nobodys business goddamn she murdered everybody and i was her witness  she works for the money she work for the money from the start to the finish and she worth every dollar she worth every dollar and she worth every minute  oh gonna make you feel you always come back to me come back come back come back come back come back come back come back,Beyoncé
hello hello how are you oh i just got to say i hold you you know i had some things to do go lean up in me you know i guess i was kind of shy how about someone who writes for a dream or maybe you can see maybe you can sing a song mmm  tonight im bout to have fun  i dial  chorus 6325792number 6325792mmm 6325792 6325792he said call me anytime 6325792 6325792 6325792 6325792  verse 2 we talked about love songs on and on and on theres nothing wrong with calling a quite song and having them play a song for me a song for you a song for me a song its getting late and i cant wait i have to go to sleep im happy i will speak but maybe i will be dreaming  hook dream of you and we sing a lullaby sing a lullaby underneath a cherry tree as softly passes by and carries us away high in the sky when i your way  you know im going to die  chorus 6325792sing me a lalaby 6325792i think ill call you tonight 6325792oooohhhh 6325792yeahh 6325792you baby 6325792ooohh oh oh yeah 6325792you and me 6325792 6325792i just call to say hi 6325792 6325792,Beyoncé
shoulders sideways smack it smack it in the air legs movin side to side smack it in the air legs movin side to side smack you in the air shoulders sideways smack it smack it in the air smack it smack it in the air legs movin side to side smack it smack it in the air smack it smack it in the air  wave your hands side to side put it in the air wave your hands side to side put it in the air clap clap clap like you dont care smack that clap clap clap like you dont care i know you care  clap clap clap clap clap it foot up my foot up hold up now my foot up im spinin my foot up foot up yeah my foot up im spinin my foot up put my foot down yeah my hands up my hands up my hands up  flexin while my hands up my hands up my hands up i stand up with my hands up then i put up my hands up i put up my hands up i put up my hands up then im spinnin all my hands up  spinin while my hands up spinin while my hands up spinin while my hands up then im tippin all my hands up spinnin im spinnin im  while my hands up im spinin im spinnin im spinnin while my hands up drank  hold that cup like alcohol hold that cup like alcohol hold that cup like alcohol dont you drop that alcohol never drop that alcohol never drop that alcohol i know you thinkin bout alcohol i know im thinkin bout that alcohol  man it feel like rollin dice man it feel like rollin dice seven eleven seven eleven seven twice man seven twice man it feel like rollin dice man this feel like rollin dice man it feel like rollin dice seven twice seven twice  girl im tryna kick it with you girl im tryna kick it with you man im tryna kick it with you my feet up i kick it with you man i swear i kick it with you man i swear i kick it with you girl i wanna kick it with you man i know i kick it with you yeah i spin around and i kick it with you  shoulders sideways smack it smack it in the air legs movin side to side smack it in the air legs movin side to side smack you in the air shoulders sideways smack it smack it in the air smack it smack it in the air legs movin side to side smack it smack it in the air smack it smack it in the air  wave your hands side to side put it in the air wave your hands side to side put it in the air clap clap clap like you dont care smack that clap clap clap like you dont care i know you care  wave your hands side to side wave your hands side to side wave your hands side to side wave your hands side to side  ooh we be be freaky deaky then we switchy pink bikini rock out that booty  sweatin on my blow out sweatin on my dress this trick about to go off mad cause im so fresh fresher than you im fresher than you fresher than you,Beyoncé
clap clap clap like you dont care  ooh we be be freaky deaky then we switchy pink bikini rock that groovy dye dashiki nefertiti edges kinky sweatin on my blow out sweatin on my dress this trick about to go off mad cause im so fresh fresher than you  mustard on the beat  smack it smack it smack it smack it in the air clap clap clap like you dont care smack it smack it smack it smack it in the air  ooh we be be freaky deaky then we switchy pink bikini rock that groovy dye dashiki nefertiti edges kinky sweatin on my blow out sweatin on my dress this trick about to go off mad cause im so fresh fresher than you  fresher than you  put it on that beat  clap clap clap like you dont care  smack it smack it smack it smack it in the air clap clap clap like you dont care smack it smack it smack it smack it in the air  im so fresh im so fresh im so fresh,Beyoncé
shoulders sideways smack it smack it in the air legs movin side to side smack it in the air legs movin side to side smack it in the air shoulders sideways smack it smack it in the air smack it smack it in the air legs movin side to side smack it in the air shoulders sideways smack it smack it  clap clap clap like you dont care clap clap clap like you dont care clap clap clap clap clap clap like you dont care  smack it smack it in the air smack it smack it in the air  wave your hands side to side put it in the air wave your hands side to side put it in the air clap clap clap like you dont care smack that clap clap clap like you dont care i know you care  clap clap clap clap clap it foot up my foot up hold up now my foot up im spinnin my foot up foot up yeah my foot up im spinnin my foot up put my foot down yeah my hands up my hands up my hands up  flexin while my hands up my hands up my hands up i stand up with my hands up then i put up my hands up i put up my hands up i put up my hands up then im spinnin all my hands up  spinnin while my hands up spinnin while my hands up spinnin while my hands up then im tippin all my hands up spinnin im spinnin im spinnin while my hands up im spinnin im spinnin im spinnin while my hands up  clap clap clap like you dont care clap clap clap like you dont care clap clap clap clap clap clap like you dont care  smack it smack it in the air smack it smack it in the air  man it feel like rollin dice man it feel like rollin dice seven eleven seven eleven seven twice man seven twice man it feel like rollin dice man this feel like rollin dice man it feel like rollin dice seven twice seven twice  girl im tryna kick it with you girl im tryna kick it with you man im tryna kick it with you my feet up i kick it with you man i swear i kick it with you man i swear i kick it with you girl i wanna kick it with you man i know i kick it with you yeah i spin around and i kick it with you  shoulders sideways smack it smack it in the air legs movin side to side smack it in the air legs movin side to side smack you in the air shoulders sideways smack it smack it in the air  wave your hands side to side put it in the air wave your hands side to side put it in the air clap clap clap like you dont care smack that clap clap clap like you dont care,Beyoncé
do you think you could fall for a woman like me cause i find it hard to trust i need too much and i really dont believe in love no no do you think that i could be the girl of your dreams sometimes i dont let things go get emotional and sometimes im just out of control  you need to stop for a minute before you get too deep up in it too deep cause everything aint what it seems its hard loving a woman a woman like me woman like me you need to think about it before you get hooked on the venom and cant live without it no no cant believe everything you see its hard loving a woman a woman like me  do you think that i could be the one that you seek cause baby im one step ahead youre two steps behind but baby i dont mind do you think that i can make you real happy baby just dont get me wrong my loving is so strong but i aint tryna lead you on  you need to stop for a minute no no before you get too deep up in it no no cause everything aint what it seems seems its hard loving a woman a woman like me woman like me you need to think about it before you get hooked on the venom and cant live without it without it cant believe everything you see its hard loving a woman a woman like me  woman like me woman like me woman like me oh  you need to stop for a minute stop for a minute before you get too deep up in it before you get too deep up in it cause everything aint what it seems its hard loving a woman a woman like me you need to think about it think about it baby before you get hooked on the venom and cant live without it no no cant believe everything you see its hard loving a woman  a woman like me woman like me woman like me woman like me,Beyoncé
