iter	Passed	Remaining
0	53	53366
1	104	52148
2	160	53284
3	221	55175
4	273	54374
5	327	54288
6	381	54048
7	397	49307
8	453	49907
9	507	50209
10	567	50986
11	621	51195
12	685	52081
13	744	52408
14	798	52404
15	850	52289
16	913	52835
17	979	53424
18	1041	53749
19	1090	53423
20	1148	53549
21	1208	53714
22	1269	53920
23	1329	54056
24	1390	54248
25	1448	54245
26	1501	54123
27	1555	53989
28	1608	53857
29	1661	53720
30	1715	53637
31	1772	53605
32	1822	53399
33	1875	53273
34	1937	53409
35	1992	53341
36	2046	53256
37	2098	53122
38	2152	53049
39	2208	53004
40	2262	52910
41	2318	52890
42	2379	52964
43	2435	52914
44	2488	52809
45	2548	52849
46	2600	52722
47	2657	52703
48	2711	52632
49	2769	52628
50	2828	52638
51	2890	52686
52	2954	52789
53	3009	52726
54	3066	52694
55	3119	52587
56	3175	52540
57	3233	52519
58	3285	52401
59	3337	52294
60	3357	51681
61	3412	51625
62	3468	51591
63	3528	51597
64	3582	51533
65	3632	51401
66	3684	51311
67	3736	51208
68	3806	51363
69	3872	51451
70	3942	51587
71	4009	51672
72	4071	51704
73	4130	51690
74	4186	51637
75	4246	51626
76	4302	51576
77	4364	51593
78	4422	51562
79	4480	51527
80	4536	51469
81	4595	51443
82	4655	51435
83	4712	51388
84	4768	51335
85	4820	51234
86	4880	51214
87	4941	51214
88	5005	51233
89	5060	51168
90	5115	51094
91	5169	51017
92	5225	50959
93	5283	50919
94	5333	50812
95	5388	50740
96	5450	50740
97	5510	50719
98	5569	50686
99	5627	50645
100	5679	50554
101	5737	50509
102	5796	50476
103	5845	50358
104	5908	50361
105	5970	50350
106	6028	50312
107	6081	50229
108	6135	50152
109	6190	50083
110	6249	50051
111	6306	50004
112	6361	49936
113	6420	49902
114	6476	49841
115	6528	49751
116	6580	49661
117	6635	49594
118	6686	49503
119	6742	49444
120	6799	49391
121	6854	49329
122	6911	49282
123	6973	49264
124	7032	49224
125	7082	49125
126	7132	49031
127	7181	48924
128	7236	48863
129	7290	48792
130	7344	48720
131	7396	48634
132	7447	48550
133	7500	48475
134	7554	48406
135	7612	48364
136	7677	48360
137	7737	48334
138	7801	48324
139	7859	48280
140	7925	48282
141	7983	48240
142	8040	48189
143	8097	48132
144	8151	48065
145	8208	48012
146	8266	47969
147	8325	47927
148	8381	47870
149	8437	47813
150	8492	47750
151	8550	47701
152	8614	47687
153	8673	47649
154	8728	47582
155	8780	47502
156	8837	47453
157	8897	47414
158	8956	47375
159	9016	47334
160	9072	47279
161	9126	47211
162	9182	47149
163	9236	47082
164	9288	47005
165	9342	46936
166	9394	46860
167	9448	46792
168	9502	46723
169	9555	46652
170	9608	46579
171	9660	46502
172	9715	46442
173	9766	46360
174	9821	46302
175	9875	46235
176	9931	46178
177	9988	46125
178	10046	46077
179	10096	45995
180	10151	45934
181	10206	45872
182	10259	45803
183	10310	45724
184	10355	45621
185	10407	45545
186	10464	45496
187	10519	45434
188	10571	45362
189	10628	45310
190	10687	45266
191	10758	45275
192	10818	45237
193	10884	45220
194	10943	45176
195	11003	45135
196	11058	45076
197	11121	45048
198	11178	44993
199	11234	44938
200	11290	44879
201	11350	44838
202	11411	44803
203	11467	44745
204	11524	44693
205	11580	44636
206	11637	44581
207	11697	44540
208	11758	44501
209	11814	44443
210	11872	44395
211	11926	44331
212	11981	44268
213	12036	44208
214	12088	44138
215	12141	44070
